1. Zusammenfassung
Besprechungstitel	Presentation #2
Teilnehmende Teilnehmer*innen	61
Startzeit	4/26/23, 3:46:40 PM
Endzeit	4/26/23, 4:32:59 PM
Besprechungsdauer	46m 19s
Durchschnittliche Anwesenheitszeit	26m 22s

2. Teilnehmer
Name	Erster Beitritt	Zeitpunkt des letzten Verlassens	Dauer der Besprechung	E-Mail	Teilnehmer-ID (UPN)	Rolle
B. S.	4/26/23, 4:00:54 PM	4/26/23, 4:30:37 PM	29m 43s	b@example.com	Referent
D. Z.	4/26/23, 4:01:06 PM	4/26/23, 4:21:21 PM	20m 14s	d@example.com	Referent
R. L.	4/26/23, 4:01:08 PM	4/26/23, 4:02:24 PM	1m 15s	r@example.com	Referent
S. M.	4/26/23, 4:01:14 PM	4/26/23, 4:10:57 PM	9m 43s	s@example.com	Referent
A. F.	4/26/23, 4:01:19 PM	4/26/23, 4:08:08 PM	6m 48s		Referent
M. B.	4/26/23, 4:01:19 PM	4/26/23, 4:30:35 PM	29m 15s	m@example.com	Referent
A. M.	4/26/23, 4:01:20 PM	4/26/23, 4:30:40 PM	29m 20s	a@example.com	Referent
L. P.	4/26/23, 4:01:23 PM	4/26/23, 4:30:36 PM	29m 13s	l@example.com	Referent
K. S.	4/26/23, 4:01:27 PM	4/26/23, 4:30:36 PM	29m 9s	k@example.com	Referent
T. T.	4/26/23, 4:01:27 PM	4/26/23, 4:04:50 PM	3m 23s	t@example.com	Referent
S. R.	4/26/23, 4:01:36 PM	4/26/23, 4:30:43 PM	29m 7s	s@example.com	Referent
A. S.	4/26/23, 4:01:44 PM	4/26/23, 4:28:26 PM	26m 41s	a@example.com	Referent
A. S.	4/26/23, 4:02:01 PM	4/26/23, 4:30:32 PM	28m 31s	a@example.com	Referent
D. F.	4/26/23, 4:02:09 PM	4/26/23, 4:30:27 PM	28m 18s		Referent
I. M.	4/26/23, 4:02:39 PM	4/26/23, 4:30:34 PM	27m 55s		Referent
S. J.	4/26/23, 4:02:45 PM	4/26/23, 4:02:58 PM	12s	s@example.com	Referent
J. M.	4/26/23, 4:03:49 PM	4/26/23, 4:30:38 PM	26m 48s	j@example.com	Referent
M. M.	4/26/23, 4:04:04 PM	4/26/23, 4:28:54 PM	24m 49s	m@example.com	Referent
B. B.	4/26/23, 4:04:15 PM	4/26/23, 4:30:35 PM	26m 20s	b@example.com	Referent
J. H.	4/26/23, 4:04:21 PM	4/26/23, 4:30:59 PM	26m 38s	j@example.com	Referent
V. B.	4/26/23, 4:04:56 PM	4/26/23, 4:30:40 PM	25m 44s	v@example.com	Referent
A. V.	4/26/23, 4:06:55 PM	4/26/23, 4:29:37 PM	22m 41s	a@example.com	Referent
A. F.	4/26/23, 4:08:26 PM	4/26/23, 4:30:37 PM	22m 11s		Referent
A. A.	4/26/23, 4:08:47 PM	4/26/23, 4:30:30 PM	21m 43s	a@example.com	Referent
V. S.	4/26/23, 4:11:13 PM	4/26/23, 4:13:08 PM	1m 55s	v@example.com	Referent
R. K.	4/26/23, 4:15:11 PM	4/26/23, 4:26:47 PM	11m 36s	r@example.com	Referent
