1. Summary
Meeting title	Presentation #1
Attended participants	68
Unidentified participants	1
Start time	4/26/23, 12:35:58 PM
End time	4/26/23, 1:50:58 PM
Meeting duration	1h 15m
Average attendance time	34m 9s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role
Organizer	4/26/23, 12:36:19 PM	4/26/23, 1:49:08 PM	1h 12m 48s	l@example.com	l@example.com	Organizer
J. H.	4/26/23, 12:50:57 PM	4/26/23, 1:48:41 PM	57m 44s	j@example.com	j@example.com	Presenter
A. H.	4/26/23, 12:58:20 PM	4/26/23, 1:30:08 PM	31m 48s	a@example.com	a@example.com	Presenter
D. K.	4/26/23, 12:59:09 PM	4/26/23, 1:48:33 PM	49m 23s	d@example.com	d@example.com	Presenter
F. M.	4/26/23, 12:59:15 PM	4/26/23, 1:48:40 PM	49m 25s	f@example.com	f@example.com	Presenter
C. B.	4/26/23, 12:59:30 PM	4/26/23, 1:44:53 PM	45m 22s	c@example.com	c@example.com	Presenter
A. Z.	4/26/23, 12:59:34 PM	4/26/23, 1:33:12 PM	33m 38s	a@example.com	a@example.com	Presenter
M. K.	4/26/23, 12:59:40 PM	4/26/23, 1:48:41 PM	49m	m@example.com	m@example.com	Presenter
A. J.	4/26/23, 12:59:46 PM	4/26/23, 1:04:17 PM	4m 31s	a@example.com	a@example.com	Presenter
B. S.	4/26/23, 12:59:48 PM	4/26/23, 1:48:17 PM	48m 29s	b@example.com	b@example.com	Presenter
J. H.	4/26/23, 12:59:54 PM	4/26/23, 1:48:42 PM	48m 48s	j@example.com	j@example.com	Presenter
S. R.	4/26/23, 12:59:55 PM	4/26/23, 1:26:39 PM	26m 43s	s@example.com	s@example.com	Presenter
L. M.	4/26/23, 1:00:01 PM	4/26/23, 1:50:58 PM	50m 57s	l@example.com	l@example.com	Presenter
N. S.	4/26/23, 1:00:04 PM	4/26/23, 1:05:46 PM	5m 41s	n@example.com	n@example.com	Presenter
T. O.	4/26/23, 1:00:05 PM	4/26/23, 1:48:43 PM	48m 38s	t@example.com	t@example.com	Presenter
A. C.	4/26/23, 1:00:15 PM	4/26/23, 1:48:43 PM	48m 28s	a@example.com	a@example.com	Presenter
M. S.	4/26/23, 1:00:18 PM	4/26/23, 1:29:37 PM	29m 19s	m@example.com	m@example.com	Presenter
F. S.	4/26/23, 1:00:23 PM	4/26/23, 1:30:22 PM	29m 59s	f@example.com	f@example.com	Presenter
R. G.	4/26/23, 1:00:35 PM	4/26/23, 1:28:43 PM	28m 8s			Presenter
K. L.	4/26/23, 1:00:42 PM	4/26/23, 1:17:45 PM	17m 3s	k@example.com	k@example.com	Presenter
T. F.	4/26/23, 1:00:47 PM	4/26/23, 1:42:10 PM	41m 22s	t@example.com	t@example.com	Presenter
C. P.	4/26/23, 1:00:49 PM	4/26/23, 1:48:41 PM	47m 52s	c@example.com	c@example.com	Presenter
